Key,English,Category,Context,Amharic,Technical
delivery.qr.cameraUnavailable,Camera unavailable,delivery,Scanner camera error,,No
delivery.qr.cancel,Cancel,delivery,Scan cancel button,,No
delivery.qr.close,Close,delivery,QR close button,,No
delivery.qr.complete,🎉 Delivery Complete! Both parties confirmed.,delivery,Manual complete,,No
delivery.qr.detected,QR Code detected! Verifying...,delivery,Scanner detected,,No
delivery.qr.enter4digit,Please enter the 4-digit code.,delivery,Manual code empty,,No
delivery.qr.error,${err.message || 'QR code not yet generated for this order.'},delivery,QR error body,,No
delivery.qr.failed,❌ ${result.message},delivery,Manual failed msg,,No
delivery.qr.freeEcommerce,MEDEBIRR · Your Free Ecommerce,delivery,QR footer brand,,No
delivery.qr.invalid,❌ Invalid QR Code,delivery,Scanner invalid,,No
delivery.qr.invalidDesc,This doesn't appear to be a valid Medebirr order QR.,delivery,Scanner invalid desc,,No
delivery.qr.loading,Loading QR code...,delivery,QR loading,,No
delivery.qr.manual,⌨️ Enter code manually,delivery,Scan manual button,,No
delivery.qr.manualDesc,Type the 4-digit code shown on the other party's QR screen.,delivery,Manual code desc,,No
delivery.qr.manualPlaceholder,••••,delivery,Manual code placeholder,,No
delivery.qr.manualTitle,⌨️ Enter Delivery Code,delivery,Manual code title,,No
delivery.qr.notAvailable,⚠️ QR Not Available,delivery,QR error title,,No
delivery.qr.order,"Order: <strong style=""color:white;"">${data.order_ref}</strong>",delivery,QR order ref,,No
delivery.qr.pending,⏳ Pending,delivery,QR pending status,,No
delivery.qr.rider,Rider,delivery,QR rider status,,No
delivery.qr.scanAttempts,Scan attempts: ${data.scan_attempts}/5,delivery,QR scan attempts,,No
delivery.qr.scanDesc,Verify the handover by scanning the other party's QR code.,delivery,Scan modal desc,,No
delivery.qr.scanTitle,"📷 Scan ${role === 'rider' ? ""Buyer's"" : ""Rider's""} QR",delivery,Scan modal title,,No
delivery.qr.sellerShow,Show this to the buyer for verification.,delivery,QR seller instruction,,No
delivery.qr.shareBuyer,Share with the buyer for the handover handshake.,delivery,QR OTP note,,No
delivery.qr.somethingWrong,Something went wrong. Try again.,delivery,Manual error,,No
delivery.qr.title,📱 Your QR Code,delivery,QR modal title,,No
delivery.qr.verificationCode,Delivery Verification Code,delivery,QR OTP label,,No
delivery.qr.verified,✓ Verified,delivery,QR verified status,,No
delivery.qr.verify,Verify Code,delivery,Verify code button,,No
delivery.qr.waitingRider,Waiting for ${role === 'rider' ? 'buyer' : 'rider'} to confirm...,delivery,Manual waiting,,No
delivery.receipt.download,📥 Download PDF,delivery,Receipt download button,,No
delivery.receipt.error,${err.message || 'Receipt not yet generated.'},delivery,Receipt error body,,No
delivery.receipt.for,"Receipt for order ${orderId.slice(0, 8)}...",delivery,Receipt order line,,No
delivery.receipt.loading,Loading receipt...,delivery,Receipt loading,,No
delivery.receipt.notAvailable,⚠️ Receipt Not Available,delivery,Receipt error title,,No
delivery.receipt.title,📄 Order Receipt,delivery,Receipt modal title,,No
delivery.settle,Order settled successfully!,delivery,Settle toast,,No
delivery.settleErr,Failed to settle order,delivery,Settle error,,No
delivery.settleMsg,${result.message || 'Order settled successfully!'},delivery,Settle message,,No
notification.arriving24,Arriving within 24 hours,notification,ETA title 24h,,No
notification.arrivingDays,'Arriving in ~${days} days',notification,ETA title days,,No
notification.back,Back,notification,Notif back button,,No
notification.coupon,Coupon,notification,Notif label coupon,,No
notification.emptyDesc,"New orders, dispatches, payouts and delivery updates will appear here.",notification,Seller notif empty desc,,No
notification.estimated,estimated,notification,Notif estimated tag,,No
notification.etaBody,'Order ${o.order_ref} is on its way. Estimated delivery in ${days === 1 ? '1 day' : days + ' days'}.',notification,ETA body,,No
notification.message,Message,notification,Notif label message,,No
notification.newOrder,New Order,notification,Notif label new_order,,No
notification.notification,Notification,notification,Notif fallback label,,No
notification.orderCancelled,Order Cancelled,notification,Notif label order_cancelled,,No
notification.orderDelivered,Order Delivered,notification,Notif label order_delivered,,No
notification.orderDispatched,Order Dispatched,notification,Notif label order_dispatched,,No
notification.orderPaid,Payment Confirmed,notification,Notif label order_paid,,No
notification.orderPlaced,Order Placed,notification,Notif label order_placed,,No
notification.payout,Payout,notification,Notif label payout,,No
notification.riderAssigned,Rider Assigned,notification,Notif label rider_assigned,,No
notification.windowEnded,Delivery window ended,notification,ETA ended title,,No
notification.windowEndedBody,'Order ${o.order_ref} dispatch window passed — confirm delivery with the buyer.',notification,ETA ended body,,No
seller.addProduct.catBeauty,💄 Beauty,seller,Category option,,No
seller.addProduct.catElectronics,📱 Electronics,seller,Category option,,No
seller.addProduct.catFashion,👗 Fashion & Traditional,seller,Category option,,No
seller.addProduct.catFootwear,👟 Footwear,seller,Category option,,No
seller.addProduct.catFurniture,🪑 Furniture,seller,Category option,,No
seller.addProduct.catGroceries,☕ Coffee & Food,seller,Category option,,No
seller.addProduct.catHome,🏠 Home & Garden,seller,Category option,,No
seller.addProduct.catOther,📦 Other,seller,Category option,,No
seller.addProduct.category,Category,seller,Product category label,,No
seller.addProduct.categoryRequired,Category *,seller,Pending category label,,No
seller.addProduct.categoryRequiredErr,Please select a category,seller,Complete category error,,No
seller.addProduct.comparePending,Compare Price (ETB),seller,Pending compare label,,No
seller.addProduct.comparePlaceholder,Optional original price,seller,Compare price placeholder,,No
seller.addProduct.comparePrice,Compare Price (ETB),seller,Product compare price label,,No
seller.addProduct.completeListing,📝 Complete Product Listing,seller,Complete pending title,,No
seller.addProduct.descPlaceholder,"Describe your product in detail — features, condition, materials, size...",seller,Pending desc placeholder,,No
seller.addProduct.descRequired,Description *,seller,Pending desc label,,No
seller.addProduct.descRequiredErr,Description is required,seller,Complete desc error,,No
seller.addProduct.description,Description,seller,Product description label,,No
seller.addProduct.detectedFrom,Detected from Telegram · ${pending.auto_detected ? 'Auto-detected' : '/sell command'},seller,Complete pending sub,,No
seller.addProduct.draftFailed,Save failed,seller,Draft save error,,No
seller.addProduct.draftSaved,Draft saved. Complete later to publish.,seller,Draft saved toast,,No
seller.addProduct.duty,Duty / Customs,seller,Product duty label,,No
seller.addProduct.dutyPlaceholder,"Import duty, customs, or tax notes (optional)",seller,Duty placeholder,,No
seller.addProduct.editTitle,Edit Item,seller,Edit product title,,No
seller.addProduct.failedPublish,Failed to publish,seller,Complete publish error,,No
seller.addProduct.imageNote,"Upload from device or paste direct image URLs (jpg/png/webp). First image is the thumbnail. Max 5 images, 10MB each.",seller,Image note,,No
seller.addProduct.imageTips,"📸 Image tips: Use natural lighting, clean background, show multiple angles. Min 800×600px.",seller,Pending image tips,,No
seller.addProduct.imageUrlPending,'Image URL ${i+1} ${i===0?'main image':'optional'}',seller,Pending image placeholder,,No
seller.addProduct.imageUrlPlaceholder,'Image URL ${i+1} ${i===0?'required':'optional'}',seller,Image url placeholder,,No
seller.addProduct.images,Product Images,seller,Product images label,,No
seller.addProduct.imagesCount,'Product Images (${imgs.length}/5)',seller,Complete pending images count,,No
seller.addProduct.intro,Item will appear in the buyer discovery feed and auto-broadcast to your Telegram group.,seller,Add product intro,,No
seller.addProduct.itemTitle,Item Title,seller,Product title label,,No
seller.addProduct.materials,Materials,seller,Product materials label,,No
seller.addProduct.materialsPlaceholder,"e.g. 100% cotton, genuine leather, aluminum alloy",seller,Materials placeholder,,No
seller.addProduct.materialsRequired,*,seller,Materials required marker,,No
seller.addProduct.materialsRequiredErr,Materials are required,seller,Materials error,,No
seller.addProduct.noImages,⚠️ No images detected. You can add image URLs below.,seller,Complete pending no images,,No
seller.addProduct.price,Price (ETB),seller,Product price label,,No
seller.addProduct.pricePending,Price (ETB),seller,Pending price label,,No
seller.addProduct.pricePlaceholder,0,seller,Pending price placeholder,,No
seller.addProduct.priceRequired,Valid price required,seller,Product price error,,No
seller.addProduct.publishBroadcast,🚀 Publish & Broadcast to Group,seller,Complete publish button,,No
seller.addProduct.publishFailed,Failed to publish item,seller,Publish error,,No
seller.addProduct.publishHub,🚀 Publish to Medebirr Hub,seller,Publish button,,No
seller.addProduct.publishNow,Publish immediately (goes live in buyer hub),seller,Publish now checkbox,,No
seller.addProduct.published,Item published to hub!,seller,Publish toast,,No
seller.addProduct.publishedToast,'${result.message || 'Product published!'}',seller,Complete publish toast,,No
seller.addProduct.returns,Returns (per product),seller,Product returns label,,No
seller.addProduct.returnsPlaceholder,Product-specific return notes (optional — store policy applies if blank),seller,Returns placeholder,,No
seller.addProduct.saveChanges,Save Changes,seller,Save changes button,,No
seller.addProduct.saveDraft,💾 Save Draft (publish later),seller,Save draft button,,No
seller.addProduct.selectCategory,Select category...,seller,Pending category placeholder,,No
seller.addProduct.shippingInfo,Shipping Info,seller,Product shipping label,,No
seller.addProduct.shippingPlaceholder,"Lead time, handling notes, dispatch details (optional — store policy applies if blank)",seller,Shipping placeholder,,No
seller.addProduct.sku,SKU / Item Code (optional),seller,Product sku label,,No
seller.addProduct.skuPlaceholder,e.g. AAPL-IP15-256-TI,seller,SKU placeholder,,No
seller.addProduct.specifications,Specifications,seller,Product specs label,,No
seller.addProduct.specsPlaceholder,"Key specs, dimensions, weight, technical details (one per line)",seller,Specs placeholder,,No
seller.addProduct.specsRequired,*,seller,Specs required marker,,No
seller.addProduct.specsRequiredErr,Specifications are required,seller,Specs error,,No
seller.addProduct.stock,Stock Quantity,seller,Product stock label,,No
seller.addProduct.stockPending,Stock Quantity,seller,Pending stock label,,No
seller.addProduct.stockPlaceholder,1,seller,Pending stock placeholder,,No
seller.addProduct.stockRequired,Valid stock quantity required,seller,Product stock error,,No
seller.addProduct.subCatPending,Sub-Category,seller,Pending subcategory label,,No
seller.addProduct.subCatPlaceholder,"e.g. Phones, Chairs...",seller,Pending subcategory placeholder,,No
seller.addProduct.subCategory,Sub-Category,seller,Product subcategory label,,No
seller.addProduct.subCategoryPlaceholder,"e.g. Phones, Chairs...",seller,Subcategory placeholder,,No
seller.addProduct.tags,Tags (comma-separated),seller,Product tags label,,No
seller.addProduct.tagsPending,Tags (comma-separated),seller,Pending tags label,,No
seller.addProduct.tagsPlaceholder,"e.g. wireless, bluetooth, premium",seller,Tags placeholder,,No
seller.addProduct.tagsPlaceholder2,"e.g. wireless, bluetooth, premium",seller,Pending tags placeholder,,No
seller.addProduct.tapImages,Tap images to select for listing (max 5). Blue border = selected.,seller,Complete pending image note,,No
seller.addProduct.title,+ Publish New Item,seller,Add product title,,No
seller.addProduct.titlePending,Product Title,seller,Pending title label,,No
seller.addProduct.titlePlaceholder,e.g. Apple iPhone 15 Pro Max (256GB),seller,Product title placeholder,,No
seller.addProduct.titlePlaceholder2,e.g. Wireless Headphones,seller,Pending title placeholder,,No
seller.addProduct.titleRequired,Title is required,seller,Product title error,,No
seller.addProduct.updateFailed,Update failed,seller,Update error,,No
seller.addProduct.updated,Item updated!,seller,Update toast,,No
seller.addProduct.uploadDevice,📷 Upload from Device,seller,Upload images button,,No
seller.autoDetect.enabled,'Auto-detect ${enabled ? 'enabled' : 'disabled'}',seller,Auto-detect toast,,No
seller.autoDetect.failed,Failed to update setting,seller,Auto-detect error,,No
seller.cancelAsSeller.failed,Cancel failed,seller,Cancel as seller error,,No
seller.cancelAsSeller.success,Order cancelled. Buyer notified.,seller,Cancel as seller toast,,No
seller.confirmCancel.body,"'Cancel order <strong style=""color:white;"">${orderRef}</strong>? The buyer will be notified and any payment will be refunded.'",seller,Seller cancel body,,No
seller.confirmCancel.cancel,Cancel Order,seller,Cancel order button,,No
seller.confirmCancel.keep,Keep Order,seller,Keep order button,,No
seller.confirmCancel.reason,Reason for cancellation,seller,Cancel reason label,,No
seller.confirmCancel.reasonPlaceholder,"e.g. Out of stock, item discontinued...",seller,Cancel reason placeholder,,No
seller.confirmCancel.title,Cancel Order,seller,Seller cancel order title,,No
seller.confirmDeleteStore.body,This permanently unpublishes all products and removes your shop from Medebirr. This action cannot be undone.,seller,Confirm delete body,,No
seller.confirmDeleteStore.cancel,Cancel,seller,Confirm delete cancel,,No
seller.confirmDeleteStore.delete,Delete Shop,seller,Confirm delete button,,No
seller.confirmDeleteStore.title,"Delete ""${name}""?",seller,Confirm delete store title,,No
seller.confirmDeleteStore.warn,"⚠️ You cannot delete while there are active (paid, undelivered) orders.",seller,Confirm delete warn,,No
seller.coupon.failed,Save failed,seller,Coupon error,,No
seller.coupon.saved,Coupon settings saved!,seller,Coupon saved toast,,No
seller.dash.inTransit,In Transit,seller,Stat label,,No
seller.dash.loading,Loading stats...,seller,Dashboard loading,,No
seller.dash.orders,Orders (30 Days),seller,Stat label,,No
seller.dash.pendingOrders,Pending Orders,seller,Stat label,,No
seller.dash.revenue,Revenue (30 Days),seller,Stat label,,No
seller.deleteProduct.confirm,"Are you sure you want to delete <strong style=""color:white;"">""${title}""</strong>? This action cannot be undone.",seller,Delete product confirm,,No
seller.deleteProduct.delete,Delete,seller,Delete product button,,No
seller.deleteProduct.deleted,Product deleted,seller,Product deleted toast,,No
seller.deleteProduct.failed,Delete failed,seller,Product delete error,,No
seller.deleteProduct.title,🗑 Delete Product,seller,Delete product title,,No
seller.deleteStore.body,"'You are about to permanently delete<br/> <strong style=""color:white;"">${storeName}</strong><br/> This will unpublish all products and disconnect the Telegram group.<br/> <strong style=""color:var(--danger);"">This cannot be undone.</strong>'",seller,Delete store body,,No
seller.deleteStore.confirm,Delete Store?,seller,Delete store title,,No
seller.deleteStore.delete,🗑️ Delete Store,seller,Delete store button,,No
seller.deleteStore.deleted,Store Deleted,seller,Store deleted title,,No
seller.deleteStore.deletedBody,"'<strong style=""color:white;"">${storeName}</strong> has been deleted.<br/> All products have been unpublished.'",seller,Store deleted body,,No
seller.deleteStore.deleting,Deleting store...,seller,Deleting toast,,No
seller.deleteStore.disconnectNote,✗ Telegram group will be disconnected,seller,Delete store note,,No
seller.deleteStore.done,Done,seller,Store deleted done button,,No
seller.deleteStore.failed,Failed to delete store,seller,Delete store error,,No
seller.deleteStore.historyNote,✓ Order history is preserved for reference,seller,Delete store note,,No
seller.deleteStore.reopenNote,✓ You can open a new store anytime,seller,Delete store note,,No
seller.deleteStore.unpublishNote,✗ All products will be unpublished,seller,Delete store note,,No
seller.deleteThisStore,🗑️ Delete this store,seller,Delete this store button,,No
seller.deliveryRules.failed,Failed to save delivery rules,seller,Delivery rules error,,No
seller.deliveryRules.saved,Delivery rules saved!,seller,Delivery rules toast,,No
seller.discardFailed,Discard failed,seller,Discard error,,No
seller.discardPending,Product discarded,seller,Discard toast,,No
seller.dispatch.assignDelivery,🛵 Assign Delivery,seller,Dispatch assign button,,No
seller.dispatch.awaiting,${awaiting} awaiting dispatch,seller,Dispatch awaiting count,,No
seller.dispatch.callBuyer,📞 Call Buyer,seller,Dispatch call button,,No
seller.dispatch.cancel,✕ Cancel,seller,Dispatch cancel button,,No
seller.dispatch.cancelled,✕ Cancelled,seller,Dispatch status cancelled,,No
seller.dispatch.company,🚚 Delivery Co: ${o.rider_name || ''},seller,Dispatch company badge,,No
seller.dispatch.confirmed,✅ Confirmed,seller,Dispatch status confirmed,,No
seller.dispatch.couponApplied,'🎟️ Coupon Discount Applied: -${State.formatETB(o.discount_etb)}',seller,Dispatch coupon line,,No
seller.dispatch.delivered,📦 Delivered,seller,Dispatch status delivered,,No
seller.dispatch.deliveryCode,Delivery Code,seller,Dispatch OTP label,,No
seller.dispatch.dispatched,🚚 Dispatched,seller,Dispatch status dispatched,,No
seller.dispatch.noOrders,No orders yet,seller,Dispatch empty title,,No
seller.dispatch.noOrdersDesc,Orders from your store will appear here.,seller,Dispatch empty desc,,No
seller.dispatch.pending,⏳ Pending,seller,Dispatch status pending,,No
seller.dispatch.rider,🛵 Rider: ${o.rider_name} · ${o.rider_phone},seller,Dispatch rider badge,,No
seller.dispatch.scanBuyer,📷 Scan Buyer,seller,Dispatch scan buyer button,,No
seller.dispatch.selfDelivery,🏪 Self-delivery (you),seller,Dispatch self badge,,No
seller.dispatch.settled,✅ Settled,seller,Dispatch settled button,,No
seller.dispatch.showQR,📱 Show QR,seller,Dispatch show QR button,,No
seller.dispatch.title,📦 Orders,seller,Dispatch header,,No
seller.groupConnected,Group connected!,seller,Group connected toast,,No
seller.hub.completeToPublish,Complete to publish,seller,Dashboard pending sub,,No
seller.hub.fromTelegram,'📋 From Telegram (${pending.length})',seller,Dashboard pending header,,No
seller.hub.noOrders,No orders yet. List your items to start selling.,seller,Dashboard no orders,,No
seller.hub.publishNew,+ Publish New Item to Hub,seller,Dashboard publish button,,No
seller.hub.recentOrders,Recent Orders,seller,Dashboard orders header,,No
seller.hub.recentReviews,⭐ Recent Reviews,seller,Dashboard reviews header,,No
seller.hub.title,Sales Hub,seller,Dashboard section title,,No
seller.hub.viewAll,'View all ${pending.length} pending',seller,Dashboard view all,,No
seller.hub.viewAllOrders,View All,seller,Dashboard view all orders,,No
seller.inventory.add,+ Add Item,seller,Inventory add button,,No
seller.inventory.draft,○ Draft,seller,Inventory draft badge,,No
seller.inventory.edit,✏️ Edit,seller,Inventory edit button,,No
seller.inventory.live,● Live,seller,Inventory live badge,,No
seller.inventory.noItems,No items yet,seller,Inventory empty title,,No
seller.inventory.noItemsDesc,Add your first product to start selling.,seller,Inventory empty desc,,No
seller.inventory.publish,Publish,seller,Inventory publish button,,No
seller.inventory.sku,SKU: ${p.sku || 'N/A'},seller,Inventory sku line,,No
seller.inventory.stock,Stock: ${p.stock_quantity - (p.reserved_stock || 0)},seller,Inventory stock line,,No
seller.inventory.title,'My Items (${prods.length})',seller,Inventory header,,No
seller.inventory.unpublish,Unpublish,seller,Inventory unpublish button,,No
seller.menu.accountPassword,🔑 Account Password,seller,Account password title,,No
seller.menu.accountPasswordDesc,Used to confirm sensitive actions like payout changes and shop deletion.,seller,Account password desc,,No
seller.menu.accountSettings,👤 Account &amp; Settings,seller,Account settings title,,No
seller.menu.active,Active,seller,Active badge,,No
seller.menu.addisFee,Addis Ababa Delivery Fee (Br),seller,Addis fee label,,No
seller.menu.autoDetect,🔍 Auto-Detect Products,seller,Auto-detect title,,No
seller.menu.autoDetectDesc,"Any photo with a price in your group becomes a pending product. When OFF, only /sell commands create products.",seller,Auto-detect desc,,No
seller.menu.autoInvoice,🧾 Auto-Invoice,seller,Auto-invoice title,,No
seller.menu.autoInvoiceDesc,Attach a PDF invoice to every completed order email.,seller,Auto-invoice desc,,No
seller.menu.cashEnabled,💵 Cash on Delivery,seller,Cash enabled checkbox,,No
seller.menu.cbeEnabled,🏦 CBE Bank Transfer,seller,CBE enabled checkbox,,No
seller.menu.cbeName,CBE Account Name,seller,CBE name label,,No
seller.menu.cbeNamePlaceholder,Account holder name,seller,CBE name placeholder,,No
seller.menu.cbeNumber,CBE Account Number,seller,CBE number label,,No
seller.menu.cbeNumberPlaceholder,1000XXXXXXX,seller,CBE number placeholder,,No
seller.menu.connected,"✅ Connected: <strong style=""color:var(--text-primary);"">@${store.tg_channel_username}</strong> — Products auto-post here when published.",seller,TG connected note,,No
seller.menu.copyCode,📋 Copy,seller,Copy store code button,,No
seller.menu.copyLink,🔗 Copy Store Link,seller,Copy store link button,,No
seller.menu.couponValid,Coupon Valid (days),seller,Coupon valid label,,No
seller.menu.couponsDesc2,Grow sales with share-to-save coupons. Customers earn a coupon when they share a product N times.,seller,Coupons desc (alt),,No
seller.menu.dangerZone,⚠️ Danger Zone,seller,Danger zone label,,No
seller.menu.deleteShop,🗑 Delete My Shop &amp; Medebirr Account,seller,Delete shop button,,No
seller.menu.deleteWarning,"Deleting your shop permanently unpublishes all its products and removes it from Medebirr. This cannot be undone. You cannot delete the shop while it has active (paid, undelivered) orders.",seller,Delete warning,,No
seller.menu.deliveryCompany,🚚 Delivery Company,seller,Delivery company title,,No
seller.menu.deliveryCompanyDesc,Partner courier fulfils shipments on your behalf.,seller,Delivery company desc,,No
seller.menu.discountPct,Discount %,seller,Discount percent label,,No
seller.menu.fulfilment,📦 Fulfilment Staff,seller,Fulfilment role,,No
seller.menu.fulfilmentDesc,View and fulfil orders only. Ideal for warehouse or dispatch teams.,seller,Fulfilment desc,,No
seller.menu.group.attract,Attract Customers,seller,Settings group sub,,No
seller.menu.group.fulfill,Fulfill Orders,seller,Settings group sub,,No
seller.menu.group.getPaid,Get Paid,seller,Settings group sub,,No
seller.menu.group.getStarted,Get Started,seller,Settings group sub,,No
seller.menu.group.money,Money & Earnings,seller,Settings group,,No
seller.menu.group.orders,Order Management,seller,Settings group,,No
seller.menu.group.protect,Protect the Shop,seller,Settings group sub,,No
seller.menu.group.sales,Sales & Promotion,seller,Settings group,,No
seller.menu.group.security,Security & Access,seller,Settings group,,No
seller.menu.group.setup,Setup & Branding,seller,Settings group,,No
seller.menu.groupBuyDesc2,Customers can form a group to buy together and get a discount.,seller,Group buy desc (alt),,No
seller.menu.groupBuying,👥 Group Buying,seller,Group buy title,,No
seller.menu.groupBuyingDesc,Customers can form a group to buy together and get a discount.,seller,Group buy desc,,No
seller.menu.groupDiscount,Group Discount %,seller,Group discount label,,No
seller.menu.inviteManager,+ Invite Manager,seller,Invite manager button,,No
seller.menu.inviteStaff,+ Invite Staff,seller,Invite staff button,,No
seller.menu.logout,Log Out,seller,Seller logout button,,No
seller.menu.lowStock,🔔 Low-Stock Alerts,seller,Low stock title,,No
seller.menu.lowStockDesc,Get notified when a product is running low on stock.,seller,Low stock desc,,No
seller.menu.manager,🛡️ Manager,seller,Manager role,,No
seller.menu.managerDesc,"Manage products, orders and policies. Cannot change payouts or delete the shop.",seller,Manager desc,,No
seller.menu.minMembers,Min Members,seller,Min members label,,No
seller.menu.newOrderAlerts,🔔 New Order Alerts,seller,New order alerts title,,No
seller.menu.newOrderAlertsDesc,Ping you in Telegram the moment a new order lands.,seller,New order alerts desc,,No
seller.menu.noRatings,No ratings yet,seller,No ratings badge,,No
seller.menu.noStore,No store registered,seller,Seller menu empty,,No
seller.menu.notConnected,⚠️ No group connected yet. Connect a group to auto-broadcast your products.,seller,TG not connected note,,No
seller.menu.notifPrefIntro,Choose how Medebirr keeps you and your buyers informed.,seller,Notif pref intro,,No
seller.menu.owner,👤 Owner,seller,Owner role,,No
seller.menu.ownerDesc,Full access — you. Receives payouts and can delete the shop.,seller,Owner desc,,No
seller.menu.passwordResetSent,Password reset link sent to your Telegram,seller,Password reset toast,,No
seller.menu.paymentMethodsAccepted,Payment Methods Accepted,seller,Policy payment methods label,,No
seller.menu.payoutTitle,These details are shown to buyers at checkout so they can pay you. Keep them up to date.,seller,Payout intro,,No
seller.menu.pendingVerification,⏳ Pending Verification,seller,Pending verification badge,,No
seller.menu.policyDesc,Policy Description (shown to buyers at checkout),seller,Policy desc label,,No
seller.menu.policyDescPlaceholder,Describe your return / warranty terms...,seller,Policy desc placeholder,,No
seller.menu.promotionsIntro,Grow sales with share-to-save coupons and group-buy discounts.,seller,Promotions intro,,No
seller.menu.regionalFee,Regional Dispatch (Br),seller,Regional fee label,,No
seller.menu.resetPassword,Reset Password,seller,Reset password button,,No
seller.menu.returnPolicy,Return Policy,seller,Policy return label,,No
seller.menu.saveCoupons,💾 Save Coupons,seller,Save coupons button,,No
seller.menu.saveDelivery,💾 Save Delivery Rules,seller,Save delivery button,,No
seller.menu.saveGroupBuy,💾 Save Group Buy,seller,Save group buy button,,No
seller.menu.savePayment,💾 Save Payment Accounts,seller,Save payment button,,No
seller.menu.savePolicy,💾 Save Store Policy,seller,Save policy button,,No
seller.menu.savePromotions,💾 Save Promotions,seller,Save promotions button,,No
seller.menu.saveTax,💾 Save Tax &amp; Invoice Settings,seller,Save tax button,,No
seller.menu.section.automation,Automation (Stock & Routing),seller,Settings section,,No
seller.menu.section.coupons,Coupons & Discounts,seller,Settings section,,No
seller.menu.section.groupBuy,Group Buy Settings,seller,Settings section,,No
seller.menu.section.identity,Store Identity & Profile,seller,Settings section,,No
seller.menu.section.notifications,Notification Preferences,seller,Settings section,,No
seller.menu.section.payout,Payout & Bank Details,seller,Settings section,,No
seller.menu.section.policies,Store Policies & Legal Docs,seller,Settings section,,No
seller.menu.section.security,Account Security (2FA),seller,Settings section,,No
seller.menu.section.shipping,Shipping & Delivery Rules,seller,Settings section,,No
seller.menu.section.staff,Staff Roles & Permissions,seller,Settings section,,No
seller.menu.section.tax,Tax Config & Invoices,seller,Settings section,,No
seller.menu.selfDelivery,🏪 Self-Delivery,seller,Self-delivery title,,No
seller.menu.selfDeliveryDesc,You deliver orders yourself instead of using a rider.,seller,Self-delivery desc,,No
seller.menu.shareStore,📲 Share Your Store,seller,Share store label,,No
seller.menu.shareToSave,📤 Share-to-Save Coupons,seller,Coupons section title,,No
seller.menu.shareToSaveDesc,Customers earn a coupon when they share a product N times.,seller,Coupons desc,,No
seller.menu.sharesRequired,Shares Required,seller,Shares required label,,No
seller.menu.shippingIntro,Control how your products are delivered and what buyers pay for shipping.,seller,Shipping intro,,No
seller.menu.staffComingSoon,Staff invites coming soon,seller,Staff coming soon toast,,No
seller.menu.staffIntro,Invite team members and assign roles. (Staff management is provisioned per store — contact Medebirr support to enable seats for your shop.),seller,Staff intro,,No
seller.menu.storeCode,Store Code,seller,Store code label,,No
seller.menu.taxIntro,Configure how tax is shown to buyers and whether invoices are auto-generated.,seller,Tax intro,,No
seller.menu.taxNumber,Tax Number / TIN,seller,TIN label,,No
seller.menu.taxNumberPlaceholder,TIN / VAT no.,seller,TIN placeholder,,No
seller.menu.telebirrEnabled,📱 Telebirr (buyer pays to your number),seller,Telebirr enabled checkbox,,No
seller.menu.telebirrName,Telebirr Account Name,seller,Telebirr name label,,No
seller.menu.telebirrNamePlaceholder,Account holder name,seller,Telebirr name placeholder,,No
seller.menu.telebirrNumber,Telebirr Number,seller,Telebirr number label,,No
seller.menu.telebirrNumberPlaceholder,+251 9XX XXX XXX,seller,Telebirr number placeholder,,No
seller.menu.telegramConnection,📢 Telegram Group Connection,seller,Automation tg title,,No
seller.menu.telegramNotifs,📨 Telegram Notifications,seller,TG notifs title,,No
seller.menu.telegramNotifsDesc,Buyers get DM updates via @medebirrbot when their order status changes.,seller,TG notifs desc,,No
seller.menu.twoFactor,🔐 Two-Factor Auth (2FA),seller,2FA title,,No
seller.menu.twoFactorDesc,Require a Telegram code on every login to your seller account.,seller,2FA desc,,No
seller.menu.vat,VAT / Tax %,seller,VAT label,,No
seller.menu.verifiedMerchant,✅ Verified Merchant,seller,Verified merchant badge,,No
seller.menu.verifyAdmin,✅ Verify Admin,seller,Verify admin button,,No
seller.nav.fromTg,From TG,seller,Seller bottom nav tab,,No
seller.nav.hub,Hub,seller,Seller bottom nav tab,,No
seller.nav.items,Items,seller,Seller bottom nav tab,,No
seller.nav.orders,Orders,seller,Seller bottom nav tab,,No
seller.notif.emptyDesc,"New orders, dispatches, payouts and delivery updates will appear here.",seller,Seller notif empty desc,,No
seller.notif.emptyTitle,No notifications yet,seller,Seller notif empty,,No
seller.notif.title,Store Notifications,seller,Seller notif title,,No
seller.openStudio,Open Studio →,seller,Open studio button,,No
seller.payout.failed,Save failed — retry to continue,seller,Payout error,,No
seller.payout.resume,Stopped at ${Math.round(pct)}% — tap save to resume,seller,Payout resume,,No
seller.payout.saved,Payment accounts saved!,seller,Payout saved toast,,No
seller.pending.autoDetected,Auto-detected,seller,Pending auto-detected tag,,No
seller.pending.complete,📝 Complete,seller,Pending complete button,,No
seller.pending.desc,Products detected from your Telegram group. Complete the details to publish them to Medebirr and broadcast back to your group.,seller,Pending desc,,No
seller.pending.discard,✕ Discard,seller,Pending discard button,,No
seller.pending.imageCount,'${imgs.length} image${imgs.length !== 1 ? 's' : ''}',seller,Pending image count,,No
seller.pending.noPending,No pending products,seller,Pending empty title,,No
seller.pending.noPendingDesc,Post a product image in your Telegram group to get started. The bot will detect it automatically.,seller,Pending empty desc,,No
seller.pending.noPrice,No price set,seller,Pending no price,,No
